Date/Time,Word Count,ca,en,es
2026.04.27-01.11.07,950,0,0,950
2026.04.28-13.59.26,1075,0,0,1075
2026.04.28-18.10.03,1074,0,0,1074
2026.04.28-21.05.13,1099,0,0,1099
2026.04.28-21.20.15,1099,0,1099,1099
2026.04.28-21.44.57,1099,1078,1078,1099
2026.04.29-01.38.45,1108,1008,1008,1108
2026.04.29-01.46.48,1188,1006,1006,1188
2026.04.29-01.50.43,1188,1074,1085,1188
2026.04.29-01.58.12,1188,1167,1167,1188
2026.05.19-21.37.30,1246,1096,1096,1246
2026.05.19-21.44.03,1246,1096,1225,1246
2026.05.19-21.48.25,1246,1225,1225,1246
